KR7014280002,20120113,A014280,10400,10500,10500,10250,3,0,0,30922,22920,237103500,10400,10350,18750,15000,14910,7538,,,50,51,10600,10150,20120111,20120109,0,10400,0,0,10400,10350,0,0,0,0,0,0,0,590,6136000,1,,4855964,10400,5000,10343.3721450963,100,4855964,4822619,0,33345,0.6866814,0.6866814,0,0,0,0,0,0,830,00,1,1,3.71,1.411203,,,,,,,,11950,8850,00,22330,230967500,00,00,0,10400,10500,10500,10250,10400,22920,237103500,1,00,
KR7014281000,20120113,A014285,14250,13950,14650,13550,2,150,1.06,24910,11945,168231050,14250,14100,860,1130,7810,3957,,,138,102,16900,12800,20120112,20120105,0,14250,0,0,14800,13800,0,0,0,0,0,8,112800,7,99750,1,,117975,14100,5000,14083.6965632858,100,117975,117975,0,0,0,0,0,0,0,0,0,0,0,00,1,1,0,-2.841554,,,,,,,,16200,12000,00,11930,168018500,00,00,0,14250,13950,14650,13550,14250,11945,168231050,1,00,
KR7014300008,20120113,A014300,21300,21300,21300,21300,2,450,2.16,50,20,426000,21400,20800,510,330,0,20,,,0,2,21400,20300,20120105,20120110,0,21300,0,0,22350,20700,0,0,0,0,0,0,0,0,0,1,,1386000,20850,5000,21300,100,1386000,1239362,0,146638,10.57994,10.57994,0,0,0,0,0,0,0,00,1,1,0.14,-0.6908363,,,,,,,,23950,17750,00,20,426000,00,00,0,21300,21300,21300,21300,21300,20,426000,1,00,
KR7014350003,20120113,A014350,2920,2920,3055,2920,5,-75,-2.5,3561,591,1745770,3010,2920,810,3500,330,121,,,6,9,3295,2870,20120111,20120112,0,2920,0,0,2920,0,0,0,0,0,0,0,0,1,2920,1,,6000000,2995,5000,2953.98305084746,100,6000000,5504910,0,495090,8.2515,8.2515,0,0,0,0,0,0,0,00,1,10,0,-1.394885,,,,,,,,3440,2550,00,590,1742850,00,00,0,2920,2920,3055,2920,2920,591,1745770,1,00,
KR7014440002,20120113,A014440,3210,3215,3290,3185,5,-20,-0.62,271708,248315,802487650,3220,3210,11180,32220,179800,55530,,,187,173,3815,3175,20120105,20120112,180000,3210,0,3,3235,3200,900,2901500,3235,3235,3210,5,16150,0,0,1,,20000000,3230,500,3231.73251177963,100,20000000,9714590,0,10285410,51.42705,51.42705,0,0,0,0,0,0,9430,00,1,1,4.33,2.72704,,,,,,,,3710,2750,00,247410,799570000,00,00,0,3210,3215,3290,3185,3210,248315,802487650,1,00,
KR7014470009,20120113,A014470,1515,1520,1550,1510,2,5,0.33,205980,120908,184445015,1520,1515,49392,57010,62710,49053,,,307,414,1590,1460,20120111,20120109,180000,1515,0,3,1515,1505,105,159275,1515,1520,1515,981,1481310,0,0,4,,35038960,1510,500,1525.62563059194,100,35038960,35015168,0,23792,0.06790156,0.06790156,0,0,0,0,0,0,7080,00,1,0.5044776,1.14,-0.06737522,,,,,,,,1735,1285,00,119822,182804430,00,00,0,1515,1520,1550,1510,1515,120908,184445015,1,00,
KR7014530000,20120113,A014530,16900,17100,17100,16850,5,-100,-0.59,8640,3540,59979000,16900,16850,5190,5920,2070,1330,,,20,18,17100,16550,20120113,20120106,0,16900,0,0,17000,16650,0,0,0,0,0,0,0,0,0,1,,3486942,17000,5000,16943.2203389831,100,3486942,3483427,0,3515,0.1008047,0.1008047,0,0,0,0,0,0,-60,00,1,1,1.64,0.3736063,,,,,,,,19550,14450,00,3540,59979000,00,00,0,16900,17100,17100,16850,16900,3540,59979000,1,00,
KR7014570006,20120113,A014570,2980,3010,3035,2935,5,-20,-0.67,262891,89016,265695750,2990,2980,6495,8293,52500,33487,,,183,223,3520,2765,20120111,20120105,180000,3000,20,2,3000,2995,320,960810,3030,3030,3000,435,1305000,300,894000,4,,11000000,3000,500,2984.75039929317,100,11000000,10781567,0,218433,1.985754,1.985754,0,0,0,0,0,0,4539,00,1,1,4.32,0.5308177,,,,,,,,3450,2550,00,87961,262535940,00,00,0,2980,3010,3035,2935,2980,89016,265695750,1,00,
KR7014580005,20120113,A014580,19100,19000,19100,18950,3,0,0,2000,940,17889000,19100,19000,1930,2460,800,140,,,13,3,19400,18700,20120111,20120106,0,19100,0,0,0,0,0,0,0,0,0,0,0,100,1910000,1,,2758310,19100,5000,19022.619047619,100,2758310,2683860,0,74450,2.699116,2.699116,0,0,0,0,0,0,0,00,1,0.1,0.08,0.1801228,,,,,,,,21950,16250,00,840,15979000,00,00,-80,19100,19000,19100,18950,19100,940,17889000,1,00,
KR7003520004,20120113,A003520,2145,2170,2240,2090,2,65,3.12,20527741,12766140,27532366300,2150,2145,265610,418120,6606440,5351754,,,3719,8772,2670,1985,20120109,20120112,180000,2135,-10,5,2140,2135,94114,200710975,2130,2135,2130,3333,6932640,64153,137608185,1,,177620000,2080,500,2156.7502725092,100,177620000,175325221,0,2294779,1.29196,1.29196,0,0,0,0,0,0,281970,00,1,1,2.21,-0.8258048,,,,,,,,2390,1770,00,12604540,27187114500,00,00,-170,2145,2170,2240,2090,2145,12766140,27532366300,1,00,
